iter	Logloss
0	0.6518698391
1	0.6132668282
2	0.581413327
3	0.5502729842
4	0.5250740663
5	0.5023204176
6	0.4839199919
7	0.4644267537
8	0.4470297254
9	0.4317906376
10	0.4190354488
11	0.4073811334
12	0.3958699029
13	0.3859886974
14	0.3764292528
15	0.3692262802
16	0.3616762572
17	0.3563247359
18	0.3499190833
19	0.344722957
20	0.3395044769
21	0.3354480341
22	0.332286619
23	0.3285925757
24	0.3246702556
25	0.3221148141
26	0.3196785585
27	0.3164371539
28	0.3135168921
29	0.3115044831
30	0.3089613001
31	0.3065716063
32	0.3050877052
33	0.3038921372
34	0.3020982702
35	0.3005877917
36	0.2981710056
37	0.2965509213
38	0.294748118
39	0.2935395961
40	0.2920988059
41	0.2900809888
42	0.288239401
43	0.2870624784
44	0.2848877983
45	0.2834702375
46	0.2826233168
47	0.2812789981
48	0.2803822707
49	0.2793119921
50	0.2777957707
51	0.2757355638
52	0.2749431626
53	0.274013265
54	0.2729573568
55	0.2713302677
56	0.2697829621
57	0.2686833506
58	0.2679358889
59	0.267390899
60	0.2656811935
61	0.2640914466
62	0.2632133902
63	0.2624237189
64	0.2616102774
65	0.2603576918
66	0.2596937735
67	0.2593678406
68	0.2582534211
69	0.257296328
70	0.2567455437
71	0.2557361715
72	0.2546507501
73	0.2539304323
74	0.2524552357
75	0.2506678843
76	0.2498731653
77	0.2488525906
78	0.2478017815
79	0.2472788622
80	0.2465554024
81	0.2452473443
82	0.2443101585
83	0.2436474764
84	0.2423163177
85	0.2414036232
86	0.2410682646
87	0.2403052479
88	0.2399135413
89	0.2387048906
90	0.2377293068
91	0.237165517
92	0.2362109993
93	0.2350235694
94	0.2343399756
95	0.2336598585
96	0.2326917173
97	0.2326564354
98	0.2317051368
99	0.2309495113
100	0.2301761933
101	0.2293834831
102	0.2285469667
103	0.2280037538
104	0.2276627038
105	0.2271381362
106	0.2266378024
107	0.2261935077
108	0.2256201378
109	0.2250349471
110	0.2238355162
111	0.2233204773
112	0.2227335612
113	0.2218193215
114	0.220746751
115	0.2201422711
116	0.2196759316
117	0.218805627
118	0.2184349607
119	0.2180917217
120	0.217605681
121	0.2169204132
122	0.2164552326
123	0.2158101271
124	0.2153289924
125	0.2149151637
126	0.2144166971
127	0.2141320981
128	0.2136808371
129	0.2127186192
130	0.21174901
131	0.2114208881
132	0.2103980986
133	0.2092824944
134	0.2089669658
135	0.2084569617
136	0.2079299347
137	0.2075961729
138	0.2068717602
139	0.2058167019
140	0.2048547415
141	0.2045346546
142	0.2039170406
143	0.2031842453
144	0.2024301778
145	0.2020116363
146	0.2013194796
147	0.2008365937
148	0.2006042352
149	0.1995478763
150	0.1986394697
151	0.1977314108
152	0.1971601269
153	0.1966944827
154	0.1962558666
155	0.1960271006
156	0.1950375199
157	0.1945515435
158	0.1940894276
159	0.1938962783
160	0.1930597362
161	0.1924006337
162	0.1920320535
163	0.1917097261
164	0.1913193328
165	0.1910946617
166	0.1908683423
167	0.1900368992
168	0.1892774107
169	0.1890026881
170	0.1885776439
171	0.1882460067
172	0.1879499862
173	0.1876728943
174	0.1872772732
175	0.1868647322
176	0.1865815883
177	0.1862593381
178	0.185746205
179	0.1855442739
180	0.1849819908
181	0.1847276776
182	0.1844138874
183	0.1841009985
184	0.1835412649
185	0.1832510003
186	0.1824489674
187	0.1815781605
188	0.1811085761
189	0.1808468847
190	0.1801947099
191	0.1799663045
192	0.1792689456
193	0.1788807285
194	0.1780618273
195	0.1775148158
196	0.1771707656
197	0.1768063831
198	0.1762353438
199	0.1758524062
200	0.175221246
201	0.1749525754
202	0.1747990475
203	0.1743355667
204	0.1740308673
205	0.1736686996
206	0.1733707476
207	0.1729576143
208	0.1725477774
209	0.1721693465
210	0.1718260431
211	0.1714219234
212	0.1712450889
213	0.1709481284
214	0.1706155254
215	0.1702437904
216	0.1697618315
217	0.1695906369
218	0.1689505919
219	0.1686138427
220	0.1682810981
221	0.1678798498
222	0.1674658924
223	0.1672183137
224	0.1669612321
225	0.1662269431
226	0.1657294293
227	0.1654515777
228	0.1649932346
229	0.1646265473
230	0.1640797032
231	0.1637263431
232	0.1633836706
233	0.1629887062
234	0.1627631336
235	0.1624374196
236	0.1618600966
237	0.1612770821
238	0.1606839337
239	0.1604339471
240	0.1601242259
241	0.1598877468
242	0.1594637971
243	0.1588893198
244	0.1585163873
245	0.1584001115
246	0.1579378796
247	0.1577216426
248	0.1576246044
249	0.1573432633
250	0.156875546
251	0.1566170608
252	0.1563620523
253	0.1560959184
254	0.155810328
255	0.1555391078
256	0.1550489337
257	0.1547528359
258	0.1545710568
259	0.1543073823
260	0.1538196548
261	0.1533866271
262	0.1531999548
263	0.15291336
264	0.1527163091
265	0.1521142887
266	0.1517802564
267	0.1516169552
268	0.1512102473
269	0.1508584839
270	0.1503798988
271	0.1501588846
272	0.1494449277
273	0.148860059
274	0.1484990116
275	0.1480982012
276	0.1478854666
277	0.1474121995
278	0.1469610158
279	0.1464418693
280	0.1458814404
281	0.1454442922
282	0.1451977436
283	0.1447879968
284	0.1444845079
285	0.1440946426
286	0.1438736928
287	0.1436142676
288	0.1432735009
289	0.1429499115
290	0.1428047277
291	0.1423892251
292	0.1422069694
293	0.1419044591
294	0.1417938104
295	0.1411713677
296	0.1407765578
297	0.1405774338
298	0.1403331386
299	0.1398839508
