Model,Accuracy,Precision,Recall,F1,AUC
RandomForest,0.7667474119857918,0.19283690813435855,0.051689537343385585,0.08152615595192267,0.49727462539153344
CatBoost,0.7464669396799878,0.19290993360891895,0.08352768888647828,0.1165783497350492,0.49698696628520006
LogisticRegression,0.7142810588861491,0.19755459858505076,0.13933937191517057,0.16341719410960212,0.4963818787131793
GradientBoosting,0.7389826089790243,0.1947598253275109,0.09676194608667353,0.12928941551617928,0.4963430009229607
XGBoost,0.7337142484710892,0.19379219993953442,0.10430113359006346,0.13561354019746122,0.4961204287694796
KNN,0.5320066479105791,0.19704494050545776,0.4347236535228074,0.2711755451423545,0.49572941381869706
